Fabric,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,Weight,Thick,LastStretchLength,LastStretchForce
WOVEN,GTMS-069,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.788,0.32,50.0,0.428
WOVEN,68361,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.071,0.39,70.0,1.712
WOVEN,68SHP,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.727,0.4,60.0,2.05
WOVEN,68ND,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11.667,0.38,60.0,1.48
WOVEN,6899,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14.444,0.42,60.0,0.252
WOVEN,SKD-044,100,0,0,0,0,0,0,0,0,0,0,0,0,0,18.838,0.44,60.0,1.15
WOVEN,68364,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.475,0.41,70.0,0.821
WOVEN,68AMEERA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15.051,0.41,51.5,2.05
WOVEN,68LTN,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16.818,0.49,60.0,1.521
WOVEN,68ELNAS RENEWAL,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13.485,0.43,60.0,0.78
WOVEN,THR-0021Z,55,45,0,0,0,0,0,0,0,0,0,0,0,0,10.101,0.55,30.0,0.7
WOVEN,THR-0003S,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.525,0.38,60.0,0.42
WOVEN,SPRB5511,96,0,4,0,0,0,0,0,0,0,0,0,0,0,19.545,0.53,50.0,0.183
WOVEN,R0997,0,21,3,0,0,0,0,0,0,0,76,0,0,0,19.091,0.29,30.0,0.125
WOVEN,수직실크,0,0,0,0,0,0,0,0,0,0,0,0,100,0,9.697,0.27,30.0,0.382
KNIT,CP-150A,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16.515,0.73,120.0,0.837
KNIT,LUC-4,95,0,5,0,0,0,0,0,0,0,0,0,0,0,17.424,0.56,120.0,0.144
KNIT,SFT-KMY-044P-018,95,0,5,0,0,0,0,0,0,0,0,0,0,0,20.606,0.48,100.0,0.18
KNIT,SJ-96667 TURQ,93,0,7,0,0,0,0,0,0,0,0,0,0,0,18.687,0.44,100.0,0.41
KNIT,JERS53(SJ-98118),94,0,6,0,0,0,0,0,0,0,0,0,0,0,16.212,0.37,120.0,0.157
KNIT,D-8100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14.596,0.59,120.0,0.341
KNIT,LUC-2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17.828,0.57,120.0,0.176
KNIT,S-304,100,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04,0.65,65.5,2.05
KNIT,H180239,67,24,9,0,0,0,0,0,0,0,0,0,0,0,17.374,0.52,120.0,0.274
WOVEN,CYSFJ-079,91,0,9,0,0,0,0,0,0,0,0,0,0,0,15.051,0.39,50.0,0.801
WOVEN,CYSLS-1026,0,77,23,0,0,0,0,0,0,0,0,0,0,0,25.455,0.61,50.0,0.296
WOVEN,CYSSC-3111,97,0,3,0,0,0,0,0,0,0,0,0,0,0,34.646,0.89,50.0,0.418
WOVEN,CYSZD-0341_b,97,0,3,0,0,0,0,0,0,0,0,0,0,0,16.212,0.44,50.0,0.448
WOVEN,CYSZD-0465,0,0,3,0,0,0,0,97,0,0,0,0,0,0,18.687,0.6,50.0,0.418
WOVEN,CYSLJ-1101,0,0,3,0,0,0,0,97,0,0,0,0,0,0,25.455,0.53,50.0,0.825
WOVEN,CYSLJ-1086_g,0,0,3,0,0,0,0,97,0,0,0,0,0,0,16.667,0.36,50.0,0.872
WOVEN,CYSLJ-0153,0,0,3,0,0,0,0,97,0,0,0,0,0,0,21.97,0.42,50.0,1.423
WOVEN,CYSLJ-1086_b,15,77,8,0,0,0,0,0,0,0,0,0,0,0,14.444,0.33,50.0,0.605
WOVEN,CYSFY-190018,0,100,0,0,0,0,0,0,0,0,0,0,0,0,25.909,0.95,50.0,0.556
WOVEN,CYS09,0,96,4,0,0,0,0,0,0,0,0,0,0,0,7.929,0.2,33.0,2.04
WOVEN,CYS25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,18.283,0.48,50.0,0.253
WOVEN,CYS30,32,0,0,0,0,0,0,68,0,0,0,0,0,0,12.475,0.28,33.0,2.04
WOVEN,3,35,0,0,0,0,0,0,65,0,0,0,0,0,0,16.414,0.34,50.0,1.63
WOVEN,5,0,54,0,0,0,0,0,46,0,0,0,0,0,0,18.232,0.49,50.0,0.6
WOVEN,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11.566,0.27,36.0,2.04
WOVEN,8,36,0,0,0,0,0,0,64,0,0,0,0,0,0,16.465,0.36,29.0,2.04
WOVEN,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04,0.41,50.0,1.003
WOVEN,13,0,57,10,0,0,0,0,33,0,0,0,0,0,0,17.879,0.38,50.0,1.224
WOVEN,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,21.465,0.64,50.0,0.246
WOVEN,16,40,10,11,0,0,0,0,39,0,0,0,0,0,0,11.061,0.26,22.0,2.04
WOVEN,19,0,76,0,0,0,0,0,24,0,0,0,0,0,0,20.354,0.4,50.0,1.568
WOVEN,29,0,39,0,0,0,0,0,61,0,0,0,0,0,0,24.04,0.5,39.0,2.04
WOVEN,30,0,66,0,0,0,0,0,34,0,0,0,0,0,0,13.939,0.33,45.0,2.04
WOVEN,31,0,58,0,0,0,0,0,42,0,0,0,0,0,0,25.152,0.53,26.5,2.04
WOVEN,32,0,37,0,0,0,0,0,63,0,0,0,0,0,0,11.869,0.29,31.0,2.04
WOVEN,33,0,45,0,0,0,0,0,55,0,0,0,0,0,0,13.687,0.31,42.5,2.04
WOVEN,34,0,55,0,0,0,0,0,45,0,0,0,0,0,0,12.778,0.34,45.5,2.04
WOVEN,35,0,55,0,0,0,0,0,45,0,0,0,0,0,0,11.212,0.27,45.5,2.04
WOVEN,36,0,60,0,0,0,0,0,40,0,0,0,0,0,0,11.667,0.29,38.5,2.04
WOVEN,50,33,8,0,0,0,0,0,59,0,0,0,0,0,0,12.222,0.3,24.5,2.04
WOVEN,57,60,10,5,0,0,0,0,25,0,0,0,0,0,0,15.202,0.35,30.5,2.04
WOVEN,58,38,10,0,0,0,0,0,52,0,0,0,0,0,0,20.354,0.43,50.0,1.169
WOVEN,60,39,16,0,0,0,0,0,45,0,0,0,0,0,0,23.081,0.43,35.0,2.04
WOVEN,61,25,6,0,0,0,0,0,69,0,0,0,0,0,0,18.131,0.4,30.5,2.04
WOVEN,64,43,18,0,0,0,0,0,39,0,0,0,0,0,0,18.03,0.38,27.0,2.04
WOVEN,65,0,25,0,0,0,0,0,75,0,0,0,0,0,0,15.606,0.33,30.5,2.04
